name,wins,losses,height_cm,weight_in_kg,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,lightweight,welterweight,middleweight,light-heavyweight,wins_to_losses_ratio
Collin Huckbody,8,2,0.9615384615384616,0.9023550919453704,0.9156626506024096,Orthodox,2.05,60.0,2.73,42.0,10.23,100.0,0.0,20.4,0,0,0,1,4.0
Gerald Strebendt,9,7,0.9078947368421052,0.9227034120734908,0.8944944598337952,Orthodox,0.0,0.0,4.0,38.0,0.0,0.0,0.0,16.4,0,1,0,0,1.2857142857142858
Kenneth Seegrist,4,7,0.923076923076923,0.9023550919453704,0.9077178278330714,Orthodox,3.21,66.0,1.28,0.0,0.0,0.0,40.0,14.4,0,0,0,1,0.5714285714285714
Will Kerr,9,3,0.9210526315789475,0.9227034120734908,0.8625,Orthodox,1.91,42.0,6.22,33.0,0.0,0.0,0.0,14.3,0,1,0,0,3.0
Neil Grove,12,8,0.8764044943820225,0.3441463624130329,0.896911663216011,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,100.0,14.3,0,0,0,0,1.5
Philip Perez,7,5,0.8552631578947368,0.9227034120734908,0.8944944598337952,Southpaw,1.36,100.0,0.68,66.0,10.23,100.0,0.0,10.2,0,1,0,0,1.4
Brandon Shuey,7,6,0.8815789473684211,0.9227034120734908,0.8944944598337952,Orthodox,0.68,33.0,1.36,0.0,0.0,0.0,0.0,10.2,0,1,0,0,1.1666666666666667
Dave Phillips,13,7,0.923076923076923,0.9023550919453704,0.9077178278330714,Orthodox,0.0,0.0,2.0,25.0,0.0,0.0,0.0,10.0,0,0,0,1,1.8571428571428572
Johnny Sampaio,3,1,0.8831168831168831,0.9289242259968677,0.9077441077441077,Orthodox,1.32,40.0,2.64,50.0,9.89,50.0,0.0,9.9,0,0,1,0,3.0
Zach Reese,6,1,0.9743589743589743,0.9023550919453704,0.9277108433734941,Switch,3.93,66.0,6.56,28.0,0.0,0.0,0.0,9.8,0,0,0,1,6.0
Rodrigo Gripp de Sousa,7,9,0.9102564102564102,1.0,0.9077178278330714,Orthodox,0.48,23.0,4.81,52.0,0.0,0.0,0.0,9.6,0,0,0,1,0.7777777777777778
Justin Burlinson,6,1,0.9480519480519479,0.9289242259968677,0.9135802469135802,Switch,1.24,40.0,3.09,61.0,0.0,0.0,100.0,9.3,0,0,1,0,6.0
